query,Iteration,--base Total Energy (J),index Total Energy (J),compression Total Energy (J),index-and-compression Total Energy (J)
1,1,349.015,115.379,327.515,134.039
1,2,315.747,145.455,313.064,137.243
1,3,310.136,133.121,320.986,133.452
1,4,316.988,150.079,312.529,142.548
1,5,313.818,133.309,328.398,129.909
1,6,320.968,160.874,325.299,131.744
1,7,311.169,136.382,325.564,129.795
1,8,311.12,140.199,310.047,134.9
1,9,314.114,137.056,314.206,141.593
1,10,314.772,156.977,323.136,131.649
1,11,314.08,140.617,319.214,135.188
1,12,319.574,133.387,310.852,135.119
1,13,320.726,164.126,312.937,148.45
1,14,310.637,133.466,320.238,132.347
1,15,309.184,134.491,320.785,152.842
1,16,313.506,131.938,315.358,133.154
1,17,324.429,141.604,323.999,128.435
1,18,344.873,137.737,318.709,132.034
1,19,354.727,138.559,308.886,129.522
1,20,318.984,143.227,315.585,152.18
1,21,321.743,137.176,325.623,130.785
1,22,316.996,136.315,313.861,137.4
1,23,322.25,147.171,315.373,143.814
1,24,318.357,135.645,318.998,130.92
1,25,326.265,139.941,312.573,139.734
1,26,324.229,134.621,314.249,131.576
1,27,312.831,145.085,313.636,133.216
1,28,317.459,136.111,314.137,131.358
1,29,326.299,133.861,329.779,131.208
1,30,312.871,135.637,325.262,136.166
2,1,2.23741,7.7618,9.37329,7.52203
2,2,0.81642,8.23447,6.94649,6.27732
2,3,0.69379,7.75294,6.74132,7.44076
2,4,1.37779,6.72128,8.36324,8.80938
2,5,1.2532,6.90357,8.25902,6.47764
2,6,2.13091,6.18554,8.63943,6.75171
2,7,2.80931,7.41049,9.14005,7.2673
2,8,1.25868,8.70665,8.96613,8.18785
2,9,1.12829,8.16753,9.27892,7.87337
2,10,1.90139,8.23276,9.23133,6.77066
2,11,2.21631,7.61261,7.71888,7.8485
2,12,1.62518,7.99965,6.97377,8.33371
2,13,3.05673,6.94795,8.85848,7.93471
2,14,2.5035,8.31269,8.84827,6.56668
2,15,1.62296,9.60363,6.73974,6.6262
2,16,3.36948,7.10041,8.82846,7.35639
2,17,3.27563,8.44116,8.6115,7.13125
2,18,2.96278,7.51791,9.94095,9.15448
2,19,1.87429,7.7576,6.67747,8.13497
2,20,2.45924,8.01897,9.20377,7.0595
2,21,2.33097,8.18596,8.00619,6.72451
2,22,2.77429,6.34487,9.90736,7.48994
2,23,2.23582,7.25532,8.08044,6.87234
2,24,1.33504,6.46478,9.04695,6.44298
2,25,1.04917,7.91215,8.33302,7.74684
2,26,0.672594,7.11682,8.30825,7.49982
2,27,0.350035,8.43236,6.64944,7.0586
2,28,1.50577,7.87263,8.31875,8.00237
2,29,0.988353,6.65948,8.35147,9.67399
2,30,1.46552,6.94329,9.17974,7.68998
3,1,77.7668,58.0848,55.6139,53.5631
3,2,54.9132,52.573,52.6762,52.8749
3,3,56.7981,59.3445,54.5933,54.8045
3,4,62.2568,56.8734,52.3604,48.2673
3,5,57.4972,58.4708,53.3022,50.9624
3,6,63.075,61.729,49.508,53.6773
3,7,59.291,54.7726,56.2294,50.0747
3,8,60.318,56.8321,52.1577,53.853
3,9,58.8181,59.2235,47.281,53.6118
3,10,59.4311,57.8344,53.8868,56.3973
3,11,63.8295,59.0892,54.7398,54.6405
3,12,62.3005,56.9265,53.5109,57.1332
3,13,58.3916,55.9943,57.3381,55.7156
3,14,60.8023,58.161,55.0799,56.3987
3,15,62.7227,58.6296,56.5977,59.6012
3,16,57.0078,53.2892,55.5644,57.3943
3,17,55.9547,54.5043,53.656,53.551
3,18,61.5159,58.0814,55.1705,55.9713
3,19,57.5836,60.362,54.606,52.2658
3,20,59.4641,60.6795,53.1176,53.4012
3,21,63.5478,60.3504,51.066,54.5022
3,22,63.6754,56.9566,50.2244,58.4687
3,23,61.3201,55.7545,53.836,57.8618
3,24,61.1448,55.1884,52.5974,53.3365
3,25,59.5593,56.7682,53.6451,54.6303
3,26,56.857,53.8457,54.4752,53.6494
3,27,55.7865,57.6626,55.7715,53.559
3,28,59.1574,58.1935,54.2527,58.4257
3,29,56.7974,57.9968,54.4133,54.715
3,30,59.0306,61.5558,51.3756,51.3837
4,1,311.946,286.985,260.928,277.275
4,2,316.343,270.684,285.628,259.951
4,3,4.05832,261.168,2.47958,264.559
4,4,7.00661,267.703,5.14775,2.29211
4,5,5.50395,4.20849,3.89184,2.84854
4,6,4.66743,2.42088,3.26434,2.91393
4,7,7.76283,2.46417,5.65361,2.68147
4,8,4.51549,3.27888,3.05678,2.18433
4,9,7.59217,2.38006,2.23473,2.57933
4,10,4.88999,2.66863,5.08506,2.677
4,11,7.17686,3.70425,5.27951,2.46118
4,12,5.1635,2.2974,4.82861,2.76754
4,13,6.23658,3.61643,5.76866,3.87753
4,14,4.57137,2.33265,3.45408,2.64777
4,15,4.77763,2.54045,3.12294,3.5066
4,16,7.43088,2.4424,1.9501,2.87748
4,17,4.37786,3.53791,3.04754,3.49514
4,18,8.39275,2.77138,4.76793,2.53822
4,19,5.35615,3.27577,5.18844,2.6132
4,20,6.78514,3.88017,3.71661,2.83213
4,21,9.52985,3.15138,2.97287,3.051
4,22,3.79936,2.62787,4.7236,2.63646
4,23,8.38917,2.68955,5.46018,4.18298
4,24,4.65376,2.52966,5.24341,2.47636
4,25,6.9594,3.45746,4.65777,2.28415
4,26,5.2568,3.25455,2.7747,1.34624
4,27,7.65688,3.43156,4.24312,3.11796
4,28,6.07059,3.01439,6.55941,3.18381
4,29,6.37672,2.32534,3.78383,2.60195
4,30,5.99208,3.67214,5.73302,1.46888
5,1,20.3679,29.8391,17.978,26.8497
5,2,22.5643,28.2408,19.109,25.1838
5,3,22.8492,23.935,16.6675,23.5368
5,4,21.5034,25.8439,19.3199,24.2615
5,5,19.3568,27.4805,19.8753,23.296
5,6,20.0082,27.7672,21.0014,23.1483
5,7,21.9134,27.038,19.6672,26.722
5,8,21.6424,23.7735,14.5801,22.488
5,9,21.3803,27.7042,19.5357,22.5472
5,10,21.3031,27.7338,18.6176,29.2976
5,11,23.0762,25.9386,18.2758,26.8274
